180.153.228.62 - - [03/Nov/2014:05:39:12 +0800] "GET /systeminfo?android=1&nonce=1964&signature=9c9bd6ba913a809ebc42cef0e574a32f6bebe394&timestamp=1414032518 HTTP/1.1" 200 175 "-" "yiqichang/a1.3.3 (Android; 4.1.2; KRT16S)" "-""0.013"
222.186.13.38 - - [03/Nov/2014:05:44:07 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
180.153.228.62 - - [03/Nov/2014:05:44:17 +0800] "GET /systeminfo?android=1&nonce=4275&signature=c2384305c0cb3d02b7060996d6d2e109daef0d08&timestamp=1414032522 HTTP/1.1" 200 175 "-" "yiqichang/a1.3.3 (Android; 4.1.2; KRT16S)" "-""0.017"
220.198.252.77 - - [03/Nov/2014:06:03:31 +0800] "GET /systeminfo?android=1&nonce=8420&signature=b6d813dd76d97e8d7b9f794f4dbc80788b1a0a49&timestamp=1414965729 HTTP/1.1" 200 48758 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""0.161"
220.198.252.77 - - [03/Nov/2014:06:03:58 +0800] "POST /login/qq HTTP/1.1" 200 28 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""0.014"
220.198.252.77 - - [03/Nov/2014:06:04:05 +0800] "POST /users/QQ HTTP/1.1" 500 38 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""0.029"
220.198.252.77 - - [03/Nov/2014:06:04:28 +0800] "POST /users/QQ HTTP/1.1" 500 38 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""0.025"
220.198.252.77 - - [03/Nov/2014:06:04:34 +0800] "GET /systeminfo?android=1&nonce=7420&signature=ce3810f085c0c05ecaae580c7d1ba03c4ff3302c&timestamp=1414965794&versiontag=1414381763 HTTP/1.1" 200 59 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""0.014"
60.173.11.194 - - [03/Nov/2014:06:04:41 +0800] "GET http://check.ptlogin2.qq.com/check?uin=3654451&appid=5&ptlang=2052&r=0. HTTP/1.1" 404 564 "http://ui.ptlogin2.qq.com/cgi-bin/login?style=8&appid=5&s_url=http%3A%2F%2Fwap.aq.qq.com%2F" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" "-""0.000"
220.198.252.77 - - [03/Nov/2014:06:04:53 +0800] "POST /login/qq HTTP/1.1" 500 38 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""1.281"
220.198.252.77 - - [03/Nov/2014:06:05:03 +0800] "POST /login/qq HTTP/1.1" 500 38 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""1.537"
220.181.108.95 - - [03/Nov/2014:06:09:41 +0800] "GET / HTTP/1.1" 200 1171 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-""0.060"
220.198.252.77 - - [03/Nov/2014:06:10:07 +0800] "GET /systeminfo?android=1&nonce=0075&signature=8f29746e795c8590d0e6ffce9836d8682b3d35fc&timestamp=1414966128&versiontag=1414381763 HTTP/1.1" 200 59 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""0.016"
220.198.252.77 - - [03/Nov/2014:06:10:31 +0800] "POST /login/qq HTTP/1.1" 500 38 "-" "yiqichang/a1.3.3 (Android; 4.1.1; JRO03L)" "-""1.352"
222.186.12.73 - - [03/Nov/2014:06:37:03 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.13.62 - - [03/Nov/2014:06:41:28 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.13.58 - - [03/Nov/2014:06:48:22 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.000"
60.173.11.194 - - [03/Nov/2014:07:09:46 +0800] "GET http://check.ptlogin2.qq.com/check?uin=1259604855&appid=5&ptlang=2052&r=0. HTTP/1.1" 404 564 "http://ui.ptlogin2.qq.com/cgi-bin/login?style=8&appid=5&s_url=http%3A%2F%2Fwap.aq.qq.com%2F" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" "-""0.000"
222.186.13.103 - - [03/Nov/2014:07:12:13 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.44.123 - - [03/Nov/2014:07:13:37 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.12.149 - - [03/Nov/2014:07:39:16 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
222.186.61.226 - - [03/Nov/2014:08:16:43 +0800] "GET http://dm.qq.com/ HTTP/1.1" 200 4794 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "-""0.001"
